NUM_THREADS,ROW_N,COL_N,BLOCK_ROW_N,BLOCK_COL_N,DENSITY,time
1,512,512,8,8,0.200000,0.059062
1,512,512,32,32,0.200000,0.024236
1,512,512,128,128,0.200000,0.016217
1,512,512,8,8,0.500000,0.103101
1,512,512,32,32,0.500000,0.050398
1,512,512,128,128,0.500000,0.038183
1,512,512,8,8,0.800000,0.146575
1,512,512,32,32,0.800000,0.076409
1,512,512,128,128,0.800000,0.060073
2,512,512,8,8,0.200000,0.169945
2,512,512,32,32,0.200000,0.057080
2,512,512,128,128,0.200000,0.032306
2,512,512,8,8,0.500000,0.226353
2,512,512,32,32,0.500000,0.101890
2,512,512,128,128,0.500000,0.071911
2,512,512,8,8,0.800000,0.286864
2,512,512,32,32,0.800000,0.146918
2,512,512,128,128,0.800000,0.112478
4,512,512,8,8,0.200000,0.246672
4,512,512,32,32,0.200000,0.075641
4,512,512,128,128,0.200000,0.036867
4,512,512,8,8,0.500000,0.304716
4,512,512,32,32,0.500000,0.119775
4,512,512,128,128,0.500000,0.076601
4,512,512,8,8,0.800000,0.367858
4,512,512,32,32,0.800000,0.163552
4,512,512,128,128,0.800000,0.116065
8,512,512,8,8,0.200000,0.330988
8,512,512,32,32,0.200000,0.091196
8,512,512,128,128,0.200000,0.038387
8,512,512,8,8,0.500000,0.397725
8,512,512,32,32,0.500000,0.136575
8,512,512,128,128,0.500000,0.074531
8,512,512,8,8,0.800000,0.456445
8,512,512,32,32,0.800000,0.176471
8,512,512,128,128,0.800000,0.109653
16,512,512,8,8,0.200000,0.480696
16,512,512,32,32,0.200000,0.137536
16,512,512,128,128,0.200000,0.050120
16,512,512,8,8,0.500000,0.570598
16,512,512,32,32,0.500000,0.176485
16,512,512,128,128,0.500000,0.084561
16,512,512,8,8,0.800000,0.625141
16,512,512,32,32,0.800000,0.214131
16,512,512,128,128,0.800000,0.115846
32,512,512,8,8,0.200000,0.789782
32,512,512,32,32,0.200000,0.205542
32,512,512,128,128,0.200000,0.066706
32,512,512,8,8,0.500000,0.864040
32,512,512,32,32,0.500000,0.243624
32,512,512,128,128,0.500000,0.099158
32,512,512,8,8,0.800000,0.920606
32,512,512,32,32,0.800000,0.283398
32,512,512,128,128,0.800000,0.130809
64,512,512,8,8,0.200000,1.419021
64,512,512,32,32,0.200000,0.350932
64,512,512,128,128,0.200000,0.102804
64,512,512,8,8,0.500000,1.476765
64,512,512,32,32,0.500000,0.393960
64,512,512,128,128,0.500000,0.138237
64,512,512,8,8,0.800000,1.538398
64,512,512,32,32,0.800000,0.432367
64,512,512,128,128,0.800000,0.170792
