NUM_THREADS,ROW_N_A,COL_N_A,COL_N_B,DENSITY,time
1,32,256,32,0.200000,0.002009
1,128,16,128,0.200000,0.005082
1,64,64,64,0.200000,0.002184
1,32,256,32,0.500000,0.003938
1,128,16,128,0.500000,0.009789
1,64,64,64,0.500000,0.004219
1,32,256,32,0.800000,0.004538
1,128,16,128,0.800000,0.010434
1,64,64,64,0.800000,0.004824
2,32,256,32,0.200000,0.002292
2,128,16,128,0.200000,0.003320
2,64,64,64,0.200000,0.001458
2,32,256,32,0.500000,0.003744
2,128,16,128,0.500000,0.006969
2,64,64,64,0.500000,0.002757
2,32,256,32,0.800000,0.004626
2,128,16,128,0.800000,0.007011
2,64,64,64,0.800000,0.003375
4,32,256,32,0.200000,0.002509
4,128,16,128,0.200000,0.002436
4,64,64,64,0.200000,0.001204
4,32,256,32,0.500000,0.003390
4,128,16,128,0.500000,0.003111
4,64,64,64,0.500000,0.001976
4,32,256,32,0.800000,0.004050
4,128,16,128,0.800000,0.003953
4,64,64,64,0.800000,0.002312
8,32,256,32,0.200000,0.002916
8,128,16,128,0.200000,0.001563
8,64,64,64,0.200000,0.001114
8,32,256,32,0.500000,0.003336
8,128,16,128,0.500000,0.002412
8,64,64,64,0.500000,0.001553
8,32,256,32,0.800000,0.003952
8,128,16,128,0.800000,0.002089
8,64,64,64,0.800000,0.001857
16,32,256,32,0.200000,0.004041
16,128,16,128,0.200000,0.001101
16,64,64,64,0.200000,0.001248
16,32,256,32,0.500000,0.003926
16,128,16,128,0.500000,0.001729
16,64,64,64,0.500000,0.001488
16,32,256,32,0.800000,0.004403
16,128,16,128,0.800000,0.001804
16,64,64,64,0.800000,0.001756
32,32,256,32,0.200000,0.005496
32,128,16,128,0.200000,0.000960
32,64,64,64,0.200000,0.001404
32,32,256,32,0.500000,0.004825
32,128,16,128,0.500000,0.001320
32,64,64,64,0.500000,0.001562
32,32,256,32,0.800000,0.005082
32,128,16,128,0.800000,0.001350
32,64,64,64,0.800000,0.001737
64,32,256,32,0.200000,0.009686
64,128,16,128,0.200000,0.001341
64,64,64,64,0.200000,0.002396
64,32,256,32,0.500000,0.008466
64,128,16,128,0.500000,0.001601
64,64,64,64,0.500000,0.002543
64,32,256,32,0.800000,0.008874
64,128,16,128,0.800000,0.001784
64,64,64,64,0.800000,0.002618
